2017-07-22 19:17:57.882813|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2017-07-22 19:17:57.883509|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-83-generic #106~14.04.1-Ubuntu SMP Mon Jun 26 18:10:19 UTC 2017 x86_64 Binary: 64bit
2017-07-22 19:17:57.883543|INFO    |ServerLibPriv |   | Using hardware aes
2017-07-22 19:17:57.894368|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-07-22 19:17:57.895493|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2017-07-22 19:17:57.899702|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2017-07-22 19:18:02.020957|INFO    |Accounting    |   | Licensing Information
2017-07-22 19:18:02.021010|INFO    |Accounting    |   | licensed to       : MESMERiZE
2017-07-22 19:18:02.021041|INFO    |Accounting    |   | type              : Hoster
2017-07-22 19:18:02.021080|INFO    |Accounting    |   | starting date     : Fri Jan  1 00:00:00 2010
2017-07-22 19:18:02.021121|INFO    |Accounting    |   | ending date       : Wed Jan  1 00:00:00 2025
2017-07-22 19:18:02.021152|INFO    |Accounting    |   | max virtualservers: 65535
2017-07-22 19:18:02.021173|INFO    |Accounting    |   | max slots         : 16776960
2017-07-22 19:18:03.232801|INFO    |              |   | Puzzle precompute time: 1194
2017-07-22 19:18:03.235089|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2017-07-22 19:18:03.496413|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2017-07-22 19:18:03.497501|INFO    |Query         |   | listening on 0.0.0.0:10011
2017-07-22 19:18:09.275618|INFO    |Query         |   | query from 1 189.28.246.40:65309 issued: login with account "serveradmin"(serveradmin)
2017-07-22 19:18:42.903330|INFO    |Query         |   | query from 2 189.28.246.40:65313 issued: login with account "serveradmin"(serveradmin)
2017-07-22 19:19:28.223754|INFO    |Query         |   | query from 3 189.28.246.40:65322 issued: login with account "serveradmin"(serveradmin)
2017-07-22 19:20:10.998454|INFO    |ServerParser  |   | deleted VirtualServer(2)
2017-07-23 21:29:14.258845|INFO    |Query         |   | query from 4 189.28.246.40:49982 issued: login with account "serveradmin"(serveradmin)
2017-07-24 01:01:41.604958|INFO    |Query         |   | query from 5 189.28.246.40:49962 issued: login with account "serveradmin"(serveradmin)
2017-07-24 22:12:47.837592|INFO    |Query         |   | query from 6 186.224.171.127:55782 issued: login with account "serveradmin"(serveradmin)
2017-07-24 22:45:42.178073|INFO    |Query         |   | query from 7 186.224.171.127:56173 issued: login with account "serveradmin"(serveradmin)
2017-07-26 20:40:26.320342|INFO    |Query         |   | query from 8 186.224.171.127:52676 issued: login with account "serveradmin"(serveradmin)
2017-08-01 00:02:58.089100|INFO    |VirtualSvrMgr |   | executing monthly interval
2017-08-01 00:02:58.093599|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2017-08-09 20:08:32.240649|INFO    |Query         |   | query from 9 186.224.129.135:50378 issued: login with account "serveradmin"(serveradmin)
2017-09-01 00:02:58.099045|INFO    |VirtualSvrMgr |   | executing monthly interval
2017-09-01 00:02:58.103926|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2017-09-19 04:31:10.604479|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
2017-09-19 04:31:13.076007|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2017-09-19 04:31:13.076079|ERROR   |              |   | Unable to connect to primary address, trying secondary
2017-09-19 04:31:13.076188|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
